Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
20-08-18;00:00;63.8635;71.0862;72.1558;68.4191;
20-08-19;00:00;67.4373;68.9271;72.4955;72.2825;
20-08-20;00:00;64.8177;66.027;74.2526;69.5918;
20-08-21;00:00;73.4373;73.1537;82.6969;76.6406;
20-08-22;00:00;70.8373;72.276;83.7012;75.4015;
20-08-23;00:00;65.077;70.0259;69.8517;66.9906;
20-08-24;00:00;62.7094;72.9435;83.7157;66.6816;
20-08-25;00:00;48.7775;61.0165;68.131;51.8801;
20-08-26;00:00;49.8862;59.8549;64.0878;53.2453;
20-08-27;00:00;58.3433;68.4572;74.9198;59.8984;
20-08-28;00:00;62.0731;79.7688;76.6591;69.826;
20-08-29;00:00;84.5323;89.4728;85.6056;88.8188;
20-08-30;00:00;79.2811;86.2432;86.2343;81.1287;
20-08-31;00:00;78.2603;87.4745;86.6854;80.4299;
20-09-01;00:00;72.4397;73.9708;78.9863;75.6266;
20-09-02;00:00;76.718;80.4579;83.3561;79.635;
20-09-03;00:00;87.8917;91.9785;93.2511;88.9233;
20-09-04;00:00;77.8003;83.3777;85.3977;79.9376;
20-09-05;00:00;68.4226;68.8214;75.3783;72.0809;
20-09-06;00:00;70.3928;75.152;78.8094;70.8462;
20-09-07;00:00;70.7521;71.0757;83.0012;73.4584;
20-09-08;00:00;69.6267;75.7426;81.7048;70.4287;
20-09-09;00:00;80.8856;91.2903;91.926;83.7852;
20-09-10;00:00;58.2872;67.3824;68.1313;60.5632;
20-09-11;00:00;59.98;69.5374;70.4653;63.0616;
20-09-12;00:00;81.2681;83.1191;83.7521;83.161;
20-09-13;00:00;70.2086;70.5253;71.4714;71.2266;
20-09-14;00:00;86.1427;86.395;88.8417;88.7928;
20-09-15;00:00;87.9448;95.1282;95.2136;88.7677;
20-09-16;00:00;79.5763;80.2715;89.4189;81.004;
20-09-17;00:00;53.3007;58.2046;67.0092;54.3467;
20-09-18;00:00;68.1222;69.425;74.4072;68.6248;
20-09-19;00:00;56.0491;66.5844;74.4032;63.7936;
20-09-20;00:00;80.158;87.3184;88.2949;82.1277;
20-09-21;00:00;75.5116;82.6946;83.3826;78.0116;
20-09-22;00:00;71.9274;73.7194;78.1586;73.2007;
20-09-23;00:00;79.4104;78.4911;84.7271;81.9149;
20-09-24;00:00;83.1361;78.8151;;87.938;
20-09-25;00:00;75.9402;76.6656;;79.7427;
20-09-26;00:00;91.2917;95.5928;;93.4698;
20-09-27;00:00;85.9374;98.7615;;85.4867;
20-09-28;00:00;90.55;98.2833;;89.299;
20-09-29;00:00;92.8782;98.8677;;92.3855;
20-09-30;00:00;87.3398;91.2814;;88.0841;
20-10-01;00:00;88.7073;92.3552;;89.4906;
20-10-02;00:00;86.4736;88.3418;;86.4492;
20-10-03;00:00;83.7782;88.1252;92.1469;84.1132;
20-10-04;00:00;92.2469;93.0594;;92.4625;
20-10-05;00:00;84.4821;86.6115;;86.3961;
20-10-06;00:00;96.1469;98.0604;;96.775;
20-10-07;00:00;87.0459;89.4369;94.6882;88.4696;
20-10-08;00:00;83.7157;88.2463;;85.6436;
20-10-09;00:00;75.1514;83.1067;84.4796;77.7593;
20-10-10;00:00;85.3948;92.7156;92.0416;87.9349;
20-10-11;00:00;80.8873;88.3959;;83.7235;
20-10-12;00:00;74.1716;86.4701;86.051;75.8138;
20-10-13;00:00;79.6187;83.6292;88.0802;81.7411;
20-10-14;00:00;74.8556;81.8654;76.6898;74.6312;
20-10-15;00:00;71.2228;82.1737;76.9475;70.7509;
20-10-16;00:00;83.1652;88.8357;94.9225;84.5311;
20-10-17;00:00;77.4735;82.7008;81.4813;80.1215;
20-10-18;00:00;54.4088;62.9587;68.8121;57.1052;
20-10-19;00:00;52.4341;62.2571;64.2903;53.6688;
20-10-20;00:00;78.2793;89.4045;89.1948;82.0839;
20-10-21;00:00;92.6031;95.9927;;93.9625;
20-10-22;00:00;94.926;97.0636;;95.9104;
20-10-23;00:00;87.5303;89.9625;92.4791;90.0168;
20-10-24;00:00;94.8605;97.0104;;95.3625;
20-10-25;00:00;92.9906;94.3115;;94.1489;
20-10-26;00:00;94.5177;94.55;;95.6115;
20-10-27;00:00;89.7312;93.1553;;91.4865;
20-10-28;00:00;87.8115;91.3625;;89.9924;
20-10-29;00:00;89.3146;91.9657;;91.9812;
20-10-30;00:00;98.2396;98.5021;;97.9719;
20-10-31;00:00;93.9501;97.7302;;96.0459;
20-11-01;00:00;87.9813;91.6583;92.1213;88.9542;
20-11-02;00:00;92.2667;91.2385;98.2084;93.6854;
20-11-03;00:00;76.4955;82.3986;85.7272;78.5546;
20-11-04;00:00;85.9584;91.0344;94.0265;87.6489;
20-11-05;00:00;78.1404;83.9298;83.5277;79.4468;
20-11-06;00:00;77.4509;85.1676;83.7855;76.8175;
20-11-07;00:00;88.5823;90.9733;92.3656;89.757;
20-11-08;00:00;77.8241;85.7789;91.6376;82.5779;
20-11-09;00:00;88.7803;92.1469;96.0042;90.0674;
20-11-10;00:00;88.4584;94.9333;98.0375;90.4661;
20-11-11;00:00;84.8146;85.9231;92.9844;88.1479;
20-11-12;00:00;76.8831;91;92.7042;79.9988;
20-11-13;00:00;94.2646;95.0854;94.9761;95.4761;
20-11-14;00:00;92.3969;93.4625;98.2969;94.2521;
20-11-15;00:00;93.7948;95.6625;97.7021;95.0344;
20-11-16;00:00;88.8896;89.3313;93.9646;90.5552;
20-11-17;00:00;88.0969;90.1237;92.4501;89.2959;
20-11-18;00:00;82.8052;89.2278;89.558;83.7753;
20-11-19;00:00;73.2841;79.9349;80.8599;74.5891;
20-11-20;00:00;63.2755;72.4047;74.0507;63.963;
20-11-21;00:00;83.8375;90.9703;91.3582;85.5431;
20-11-22;00:00;71.2136;79.97;77.6721;71.8574;
20-11-23;00:00;57.9092;70.1633;67.3221;58.5973;
20-11-24;00:00;89.2328;91.6862;91.2788;89.2108;
20-11-25;00:00;87.6958;90.069;93.4166;89.9714;
20-11-26;00:00;91.326;91.2396;96.8667;92.3792;
20-11-27;00:00;87.926;92.3187;90.009;89.1385;
20-11-28;00:00;86.0415;95.1719;91.9292;84.405;
20-11-29;00:00;93.974;95.7375;99.9323;92.999;
20-11-30;00:00;95.7042;96.9584;99.9365;95.8542;
20-12-01;00:00;90.0375;96.7157;99.4271;90.4375;
20-12-02;00:00;88.6217;97.0563;97.3458;91.0331;
20-12-03;00:00;72.1355;82.8943;84.5026;73.043;
20-12-04;00:00;91.705;94.3854;96.4315;91.9604;
20-12-05;00:00;90.2469;97.0312;98.8792;91.9386;
20-12-06;00:00;90.6959;94.2688;96.5594;90.9031;
20-12-07;00:00;82.7324;87.7438;86.0345;83.4126;
20-12-08;00:00;77.4893;80.8746;77.7363;77.8467;
20-12-09;00:00;90.9042;92.2843;93.1527;91.4209;
20-12-10;00:00;84.3528;88.8173;89.0491;85.476;
20-12-11;00:00;89.9396;92.1689;92.3439;89.7998;
20-12-12;00:00;94.8833;97.7291;99.0813;96.4646;
20-12-13;00:00;91.703;96.0563;94.8699;93.6021;
20-12-14;00:00;83.053;90.9073;96.4365;87.8251;
20-12-15;00:00;93.6917;95.5687;96.124;93.6824;
20-12-16;00:00;91.2906;94.3334;95.8167;90.5354;
20-12-17;00:00;94.0042;97.1802;99.9865;94.8511;
20-12-18;00:00;91.4104;94.7136;98.0521;91.7959;
20-12-19;00:00;95.4396;95.4177;98.5729;96.0219;
20-12-20;00:00;93.2573;93.951;95.6594;93.5094;
20-12-21;00:00;94.2927;94.3187;98.749;95.4708;
20-12-22;00:00;90.6917;92.5052;95.5979;92.699;
